,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
61,0.0122,1.7313,0.9766,0.9893,1.1325,0.8666,0.9514166666666667,-0.7798833333333334,-0.025183333333333335,-0.03788333333333327,-0.18108333333333337,0.08481666666666665
62,0.0124,1.7291,0.9754,0.9945,1.1406,0.8569,0.9514833333333333,-0.7776166666666667,-0.023916666666666697,-0.0430166666666667,-0.1891166666666667,0.09458333333333335
63,0.0126,1.7203,0.9725,0.9991,1.1489,0.8494,0.9504666666666667,-0.7698333333333333,-0.02203333333333335,-0.048633333333333306,-0.19843333333333335,0.10106666666666664
64,0.0128,1.738,0.9702,1.0031,1.1481,0.8477,0.9533166666666665,-0.7846833333333335,-0.016883333333333472,-0.049783333333333624,-0.19478333333333342,0.10561666666666647
65,0.013,1.7247,0.9667,1.0088,1.1515,0.8528,0.9529166666666665,-0.7717833333333334,-0.01378333333333348,-0.055883333333333396,-0.19858333333333344,0.10011666666666652
66,0.0132,1.7269,0.9638,1.0135,1.1523,0.8634,0.9555166666666667,-0.7713833333333334,-0.00828333333333331,-0.05798333333333339,-0.19678333333333342,0.09211666666666674
67,0.0134,1.7291,0.9608,1.0164,1.154,0.8767,0.9583999999999998,-0.7707000000000003,-0.0024000000000001798,-0.05800000000000016,-0.1956000000000001,0.08169999999999977
68,0.0136,1.7291,0.9567,1.0216,1.154,0.8915,0.9610833333333333,-0.7680166666666668,0.004383333333333295,-0.060516666666666774,-0.19291666666666663,0.06958333333333333
69,0.0138,1.7313,0.9537,1.0251,1.154,0.9077,0.9642666666666667,-0.7670333333333333,0.010566666666666724,-0.060833333333333184,-0.1897333333333332,0.056566666666666765
70,0.014,1.7291,0.9489,1.0281,1.1671,0.9217,0.96815,-0.7609500000000001,0.01924999999999999,-0.05995000000000006,-0.19895000000000007,0.04644999999999999
71,0.0142,1.7291,0.9453,1.0317,1.1698,0.9431,0.9722000000000001,-0.7569,0.026900000000000035,-0.0595,-0.1975999999999999,0.029100000000000015
72,0.0144,1.7247,0.9391,1.0353,1.1939,0.9486,0.976,-0.7486999999999999,0.03689999999999993,-0.05930000000000013,-0.21789999999999998,0.02739999999999998
73,0.0146,1.7269,0.9348,1.0389,1.2188,0.9728,0.9844666666666667,-0.7424333333333334,0.04966666666666675,-0.05443333333333322,-0.2343333333333334,0.011666666666666714
74,0.0148,1.7313,0.9303,1.0407,1.2431,1.0004,0.9934333333333334,-0.7378666666666667,0.06313333333333337,-0.04726666666666657,-0.2496666666666667,-0.0069666666666665655
75,0.015,1.7181,0.9233,1.0437,1.2667,1.0189,0.9976166666666666,-0.7204833333333334,0.07431666666666659,-0.046083333333333476,-0.26908333333333334,-0.02128333333333332
76,0.0152,1.7336,0.9174,1.048,1.2953,1.0495,1.0098333333333334,-0.7237666666666667,0.09243333333333337,-0.03816666666666668,-0.28546666666666654,-0.03966666666666674
77,0.0154,1.7269,0.9141,1.048,1.3206,1.0805,1.0175833333333333,-0.7093166666666668,0.10348333333333326,-0.03041666666666676,-0.3030166666666667,-0.06291666666666673
78,0.0156,1.7247,0.9067,1.0499,1.3193,1.1179,1.0223499999999999,-0.70235,0.11564999999999992,-0.027550000000000185,-0.29695000000000005,-0.09555000000000002
79,0.0158,1.7269,0.9039,1.053,1.335,1.1569,1.0319166666666668,-0.6949833333333333,0.12801666666666678,-0.02108333333333312,-0.30308333333333315,-0.12498333333333322
80,0.016,1.7247,0.8976,1.053,1.3141,1.206,1.0352333333333332,-0.6894666666666667,0.13763333333333327,-0.01776666666666671,-0.2788666666666668,-0.17076666666666673
81,0.0162,1.7203,0.8933,1.053,1.3141,1.249,1.0409833333333334,-0.6793166666666666,0.1476833333333334,-0.012016666666666564,-0.2731166666666667,-0.20801666666666674
