,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
33,0.0066,11.4906,4.767,6.0242,7.0401,2.3592,5.2812833333333336,-6.209316666666667,0.5142833333333332,-0.7429166666666669,-1.7588166666666663,2.9220833333333336
34,0.0068,11.9823,5.8654,5.7543,7.0928,2.3135,5.502516666666668,-6.479783333333333,-0.36288333333333256,-0.25178333333333214,-1.5902833333333328,3.1890166666666677
35,0.007,11.5983,6.6719,3.9211,6.7974,3.0749,5.3450999999999995,-6.2532000000000005,-1.3268000000000004,1.4239999999999995,-1.4523000000000001,2.2701999999999996
36,0.0072,11.4313,7.2099,4.3349,6.7778,5.7994,5.926749999999999,-5.504550000000001,-1.283150000000001,1.591849999999999,-0.8510500000000008,0.12734999999999896
37,0.0074,11.9802,7.3817,5.0343,6.5045,7.4903,6.399733333333334,-5.580466666666666,-0.9819666666666667,1.3654333333333337,-0.10476666666666645,-1.0905666666666667
38,0.0076,11.647,7.111,6.5563,7.628,8.9506,6.983416666666667,-4.663583333333333,-0.12758333333333294,0.4271166666666666,-0.6445833333333333,-1.9671833333333328
39,0.0078,11.3635,6.3739,7.1257,7.7869,8.9698,6.9379333333333335,-4.425566666666667,0.5640333333333336,-0.18776666666666664,-0.8489666666666666,-2.031866666666666
40,0.008,11.9794,5.4271,6.3754,7.403,9.4155,6.768066666666666,-5.211333333333334,1.3409666666666658,0.39266666666666605,-0.6349333333333336,-2.6474333333333337
41,0.0082,11.731,4.0223,6.1321,8.2881,9.4155,6.5995333333333335,-5.131466666666666,2.577233333333333,0.46743333333333315,-1.6885666666666665,-2.8159666666666663
42,0.0084,11.3585,3.1539,5.1522,8.0908,8.1907,5.992416666666666,-5.366083333333333,2.838516666666666,0.8402166666666666,-2.0983833333333335,-2.1982833333333334
43,0.0086,11.9747,2.9115,3.6634,7.8133,6.1909,5.427066666666666,-6.5476333333333345,2.5155666666666656,1.7636666666666656,-2.386233333333334,-0.7638333333333343
44,0.0088,11.7839,3.2856,3.2113,6.9481,6.1399,5.2296000000000005,-6.554299999999999,1.9440000000000004,2.0183000000000004,-1.7184999999999997,-0.9102999999999994
45,0.009,11.2967,3.326,3.7709,5.0401,5.669,4.8519499999999995,-6.44475,1.5259499999999995,1.0810499999999994,-0.18815000000000026,-0.81705
